objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"In the Hall of the Mountain King","265402","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","67145043","6.8581","7.74215","2.8143","557","5570","thing","In the Hall of the Mountain King","2","5","90","90","75","2019","2,3,4,5","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Innovation Deluxe","185257","0","57","0","1","0","0","0","0","0","0","0","2","","","","","","38599889","6.32584","8.38651","3","0","1680","thing","Innovation Deluxe","2","6","60","60","30","2017","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"La Isla","154246","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","39309439","6.52247","6.8736","2.25","1044","8231","thing","La Isla","2","4","60","60","30","2014","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Isle of Cats","281259","10","10","0","1","0","0","0","0","0","0","0","3","","","","","","68231705","7.52716","7.88892","2.3123","97","22057","thing","The Isle of Cats","1","4","90","90","60","2019","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Isle of Cats: Explore & Draw","338460","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","91901719","5.56874","8.17082","2","9062","536","thing","The Isle of Cats: Explore & Draw","1","6","45","45","30","2022","1,2,3,4,6","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Isle of Skye: From Chieftain to King","176494","0","5","0","1","0","0","0","0","0","0","0","3","one of Rhado's top tile laying games","","","","","38711141","7.25825","7.41704","2.2445","222","29249","thing","Isle of Skye: From Chieftain to King","2","5","50","50","30","2015","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Isle of Trains","154906","0","1","0","1","0","0","0","0","0","0","0","2","","","","","","44870322","6.11065","6.7793","2","2100","3526","thing","Isle of Trains","2","4","45","45","45","2014","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Istanbul","148949","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","38670099","7.41731","7.56634","2.5856","139","32701","thing","Istanbul","2","5","60","60","40","2014","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"It's a Wonderful World","271324","9","16","0","1","0","0","0","0","0","0","0","3","","Very compelling after 5 plays. May go up after more.","","","","66128776","7.4343","7.80854","2.2982","134","15583","thing","It's a Wonderful World","1","5","60","60","30","2019","1,2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jaipur","54043","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","38670119","7.38737","7.50065","1.4807","150","63283","thing","Jaipur","2","2","30","30","30","2009","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jigūan: The Eastern Mechanist","285792","8.4","1","0","1","0","0","0","0","0","0","0","3","","","","","","66128368","5.55099","6.61277","3","10376","171","thing","Jigūan: The Eastern Mechanist","2","4","90","90","45","2019","2,3,4","3","12","","","","","","","standalone","","","","","","","","","","","","","","",""
"Jubako","300095","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","84051533","5.58561","6.89003","1.75","8131","263","thing","Jubako","2","4","30","30","20","2020","2,3,4","","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Just One","254640","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","68099463","7.39946","7.6182","1.0449","146","27774","thing","Just One","3","7","20","20","20","2018","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Kanban EV","284378","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","80621649","7.4979","8.60796","4.3527","105","7553","thing","Kanban EV","1","4","180","180","60","2020","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kashgar: Merchants of the Silk Road","143175","0","3","0","1","0","0","0","0","0","0","0","3","2018 English reprint","","","","","43788687","6.35452","7.07954","2.2535","1363","2649","thing","Kashgar: Merchants of the Silk Road","2","4","45","45","45","2013","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Kepler-3042","198190","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","56285515","6.19895","7.32625","3.431","1792","2100","thing","Kepler-3042","1","4","120","120","60","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Key Flow","252446","0","1","0","1","0","0","0","0","0","0","0","4","","","","","","51540564","6.28491","7.40837","2.8621","1531","2364","thing","Key Flow","2","6","75","75","45","2018","2,3,4,5,6","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Key Market (Second Edition)","275067","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","66126962","5.78663","7.43853","3.2222","4016","1053","thing","Key Market (Second Edition)","2","4","90","90","90","2019","2,3,4","3,4","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Key: Sabotage at Lucky Llama Land","322039","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84051558","5.6452","7.30576","1.75","6102","501","thing","The Key: Sabotage at Lucky Llama Land","1","4","45","45","20","2020","1,2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"KeyForge: Call of the Archons","257501","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","56309950","6.88234","7.20423","2.4691","532","15607","thing","KeyForge: Call of the Archons","2","2","45","45","15","2018","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Keyper","212516","0","2","0","1","0","0","0","0","0","0","0","4","","","","","","39402586","6.44431","7.32759","3.5926","1183","3647","thing","Keyper","2","4","120","120","90","2017","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The King's Guild","206327","0","1","0","1","0","0","0","0","0","0","0","4","","","","","","38749449","6.15024","7.13387","2.4286","1960","1132","thing","The King's Guild","1","6","120","120","60","2018","2,3,4,5","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdomino Duel","281960","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","91295714","6.15147","6.85706","1.6","1958","4036","thing","Kingdomino Duel","2","2","20","20","20","2019","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kraftwagen","171879","0","","0","1","0","0","0","0","0","0","0","3","","","","","","72822799","6.51294","7.25405","2.8482","1054","3758","thing","Kraftwagen","2","4","75","75","75","2015","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lanterns Dice: Lights in the Sky","274090","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","62336669","5.90777","6.89467","2","3079","1991","thing","Lanterns Dice: Lights in the Sky","2","4","45","45","30","2019","2,3,4","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Lanterns: The Harvest Festival","160851","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","40761759","6.66777","6.90007","1.5598","811","17447","thing","Lanterns: The Harvest Festival","2","4","30","30","30","2015","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Legacy of Dragonholt","234669","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","61317024","6.53294","7.25984","1.2222","1026","6134","thing","Legacy of Dragonholt","1","6","999","999","60","2017","1,2,3","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Legacy: The Testament of Duke de Crecy","52461","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","40823088","6.65649","7.15451","2.7093","825","5309","thing","Legacy: The Testament of Duke de Crecy","1","4","60","60","60","2013","1,2,3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Length x Wit","161543","0","","0","1","0","0","0","0","0","0","0","3","","","","","","32056989","5.53639","7.20244","1.8","12047","106","thing","Length x Wit","2","6","60","60","60","2014","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Lions of Lydia","289550","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84051606","5.80461","7.12225","1.92","3849","969","thing","Lions of Lydia","2","4","60","60","30","2021","2,3,4","3","8–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lisboa","161533","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","38865037","7.68324","8.20181","4.5725","59","12594","thing","Lisboa","1","4","120","120","60","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Little Flower Shop","218025","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89214824","5.75055","6.85644","1.5","4393","1012","thing","The Little Flower Shop","1","4","20","20","20","2018","1,2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"A Little Wordy","335869","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","89223625","5.74644","7.12492","1.1429","4460","1140","thing","A Little Wordy","2","2","15","15","5","2021","2","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Llamaland","330038","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","89214405","6.10954","7.45818","2.0435","2104","1751","thing","Llamaland","2","4","45","45","45","2021","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The LOOP","316412","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89211250","6.40883","7.90016","2.6667","1242","2829","thing","The LOOP","1","4","60","60","60","2020","1,2,3,4","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Loot of Lima","293972","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84051613","5.70859","7.00604","2.8","4939","1200","thing","Loot of Lima","1","5","90","90","60","2020","3,4,5","3,4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Waterdeep","110327","0","3","0","1","0","0","0","0","0","0","0","5","""take that"" is a mechanism","","","","","40283281","7.61642","7.74772","2.459","77","60998","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lorenzo il Magnifico","203993","0","10","0","1","0","0","0","0","0","0","0","2","2017 US printing","","","","","38992149","7.52861","7.88036","3.2975","96","13949","thing","Lorenzo il Magnifico","2","4","120","120","60","2016","2,3,4","3,4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities","50","0","8","0","1","0","0","0","0","0","0","0","1","","","","","","39063415","7.09639","7.19534","1.4901","327","56268","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Ruins of Arnak","312484","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","78495968","7.85821","8.11986","2.8634","31","31686","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"LUNA Capital","323613","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89509550","5.92584","7.50031","2.08","2969","1308","thing","LUNA Capital","1","4","45","45","45","2021","1,2,3,4","","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Macao","55670","0","6","0","1","0","0","0","0","0","0","0","2","","","","","","39466170","7.04236","7.41732","3.1377","377","6655","thing","Macao","2","4","100","100","50","2009","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Madeira","95527","0","1","0","1","0","0","0","0","0","0","0","4","","","","","","40467952","6.96491","7.58607","4.294","437","5259","thing","Madeira","2","4","150","150","60","2013","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Magnastorm","257067","0","1","0","1","0","0","0","0","0","0","0","4","","","","","","54806266","5.9095","6.81124","3.0732","3063","1857","thing","Magnastorm","2","4","100","100","70","2018","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Magnificent","283863","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","66127682","6.68238","7.60071","3.1525","784","3903","thing","The Magnificent","1","4","90","90","60","2019","1,2,3,4","","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mandala","264241","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","73101387","6.9636","7.64063","1.775","440","6855","thing","Mandala","2","2","20","20","20","2019","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mandala Stones","317504","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","84051545","6.01666","7.12185","1.7692","2477","1772","thing","Mandala Stones","2","4","30","30","30","2021","2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Maracaibo","276025","9","6","0","1","0","0","0","0","0","0","0","3","","","","","","66275006","7.78717","8.18375","3.8919","41","17059","thing","Maracaibo","1","4","120","120","30","2019","1,2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Marco Polo II: In the Service of the Khan","283948","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","67143875","7.38566","8.07245","3.375","151","6813","thing","Marco Polo II: In the Service of the Khan","2","4","120","120","60","2019","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Margraves of Valeria","275974","0","1","0","1","0","0","0","0","0","0","0","3","","KS","","","","73101424","5.89083","7.66962","2.6129","3172","897","thing","Margraves of Valeria","2","5","120","120","60","2020","1,2,3,4","2,3","12","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mariposas","297978","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","77127556","6.44416","6.97954","2.1522","1185","7409","thing","Mariposas","2","5","75","75","45","2020","2,3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Martinique","42244","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","84051424","5.78341","6.25258","1.8919","4042","1815","thing","Martinique","2","2","30","30","30","2009","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Masters of Renaissance: Lorenzo il Magnifico – The Card Game","280453","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","66128123","6.22563","7.21537","2.1163","1713","1966","thing","Masters of Renaissance: Lorenzo il Magnifico – The Card Game","1","4","45","45","30","2019","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mazescape Ariadne","331652","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89213893","5.62037","6.94036","1","6761","766","thing","Mazescape Ariadne","1","1","90","90","5","2021","1","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mechs vs. Minions","209010","0","2","0","1","0","0","0","0","0","0","0","4","","","","","","38978242","7.71477","8.01777","2.4246","54","21783","thing","Mechs vs. Minions","2","4","120","120","60","2016","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Medici: The Card Game","202288","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","43654772","5.99451","6.74409","1.6364","2591","1932","thing","Medici: The Card Game","2","6","30","30","30","2016","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Medici: The Dice Game","291511","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84050357","5.64878","6.69276","1.5","6005","641","thing","Medici: The Dice Game","1","4","20","20","20","2020","1,2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Merchants Cove","277700","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","84050399","6.51908","7.66812","2.7705","1047","4468","thing","Merchants Cove","1","4","90","90","60","2021","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Merchants of the Dark Road","300217","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","91464029","6.1251","7.65269","3.0896","2047","2572","thing","Merchants of the Dark Road","1","4","120","120","60","2022","1,2,3,4","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Merkator","39684","0","8","0","1","0","0","0","0","0","0","0","4","","","","","","38842073","6.43012","7.04137","2.9607","1206","3302","thing","Merkator","1","4","90","90","45","2010","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Merv: The Heart of the Silk Road","306040","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","77591826","6.72256","7.66753","3.4254","723","4761","thing","Merv: The Heart of the Silk Road","1","4","90","90","90","2020","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Messina 1347","238799","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","89660419","6.18005","7.78722","3.4643","1861","1221","thing","Messina 1347","1","4","120","120","45","2021","1,2,3,4","","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Metro X","248861","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84051561","6.21798","7.17984","1.8","1733","2550","thing","Metro X","1","6","20","20","20","2018","1,2,3,4,5,6","1,2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"MicroMacro: Crime City","318977","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","84051485","7.27523","7.70094","1.125","215","16875","thing","MicroMacro: Crime City","1","4","45","45","15","2020","1,2,3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mind MGMT: The Psychic Espionage “Game.”","284653","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","84051487","6.34426","8.10934","2.8214","1390","2524","thing","Mind MGMT: The Psychic Espionage “Game.”","1","5","75","75","45","2021","2,3,4,5","2,3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mint Delivery","230251","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49286057","5.85999","6.21422","1.5333","3393","7002","thing","Mint Delivery","1","5","30","30","15","2017","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mint Works","200077","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","43256518","6.61391","6.99069","1.7021","882","11809","thing","Mint Works","1","4","20","20","10","2017","1,2,3,4","","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Miyabi","285533","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","67144989","6.26082","7.52833","2.0909","1607","1779","thing","Miyabi","2","4","45","45","45","2019","2,3,4","2,3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mombasa","172386","0","4","0","1","0","0","0","0","0","0","0","3","Just below like to have. If tradeable or half price, would be fun to try.","","","","","38929453","7.54593","7.8693","3.8942","93","13790","thing","Mombasa","2","4","150","150","75","2015","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Monasterium","317231","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","84051628","6.03176","7.47247","3.2195","2409","1187","thing","Monasterium","2","4","120","120","60","2020","2,3","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Murano","163413","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","39056033","6.42678","7.19807","2.7297","1212","2564","thing","Murano","2","4","75","75","60","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Museum","204505","0","4","0","1","0","0","0","0","0","0","0","4","KS fall 2017","","","","","42200554","6.4005","7.2262","2.5294","1255","3946","thing","Museum","2","4","60","60","30","2019","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Museum: Pictura","301019","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","89274127","5.65846","7.69092","2.4","5781","504","thing","Museum: Pictura","2","4","60","60","60","2021","2,3","","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"My Village","172381","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","51639389","6.36193","6.94335","3.0978","1341","5119","thing","My Village","2","4","90","90","60","2015","2,3","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium Park","301767","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","78348335","6.45089","7.27966","1.5625","1166","5866","thing","Mysterium Park","2","6","45","45","30","2020","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystery House: Adventures in a Box","269537","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","66128403","5.70561","6.30367","2.2727","4982","1317","thing","Mystery House: Adventures in a Box","1","5","60","60","60","2019","1,2,3","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Nations: The Dice Game","157809","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","50731099","6.59464","6.96228","2","914","5618","thing","Nations: The Dice Game","1","4","40","40","20","2014","1,2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Neta-Tanka: Deluxe Edition","245931","0","2","0","1","0","0","0","0","0","0","0","4","","","","","","51677272","6.24171","7.22306","2.8226","1656","2734","thing","Neta-Tanka: Deluxe Edition","1","5","90","90","60","2019","1,2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Networks","72321","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","38791778","6.79357","7.19933","2.5818","623","9262","thing","The Networks","1","5","90","90","60","2016","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Newton","244711","0","8","0","1","0","0","0","0","0","0","0","2","Simone!","","","","","50624137","7.06775","7.60036","3.3935","352","7681","thing","Newton","1","4","90","90","90","2018","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Nidavellir","293014","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","79308116","7.25412","7.71692","2.1366","227","9605","thing","Nidavellir","2","5","45","45","45","2020","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Ninth World: A Skillbuilding Game for Numenera","189154","0","1","0","1","0","0","0","0","0","0","0","3","","KickStarter","","","","39116170","5.55717","6.31169","2.7143","9858","480","thing","The Ninth World: A Skillbuilding Game for Numenera","1","5","60","60","30","2018","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Nippon","154809","0","4","0","1","0","0","0","0","0","0","0","4","","","","","","41191029","7.06326","7.67423","3.7817","356","4637","thing","Nippon","2","4","120","120","60","2015","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"NMBR 9","217449","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","56284705","6.58671","6.89762","1.211","930","8639","thing","NMBR 9","1","4","20","20","20","2017","1,2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Noctiluca","269752","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","67472425","6.23107","7.15714","1.3636","1694","2740","thing","Noctiluca","1","4","30","30","30","2019","2,3","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The North","279204","0","","0","1","0","0","0","0","0","0","0","3","","","","","","86009363","5.62059","7.05644","2","6755","506","thing","The North","1","2","30","30","30","2019","1,2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The North: Provenance","317418","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89212378","5.55034","7.86375","0","0","214","thing","The North: Provenance","2","2","30","30","30","2020","1,2","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Notre Dame: 10th Anniversary","213984","0","3","0","1","0","0","0","0","0","0","0","3","CSI April","","","","","39115874","6.57722","7.56881","2.4746","0","4777","thing","Notre Dame: 10th Anniversary","2","5","75","75","45","2017","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Nova Luna","284435","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","67142840","6.87054","7.41129","1.8671","545","7731","thing","Nova Luna","1","4","60","60","30","2019","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Nusfjord","234277","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","44957324","7.08799","7.64814","2.8671","333","7974","thing","Nusfjord","1","5","100","100","20","2017","1,2,3,4,5","1,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"OctoDice","180231","0","3","0","1","0","0","0","0","0","0","0","5","OctoYahtzee","","","","","39735979","5.87414","6.45296","1.8667","3278","1849","thing","OctoDice","1","4","30","30","20","2015","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Oh My Goods!","183840","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","40582319","6.76439","6.99812","2.2881","669","20034","thing","Oh My Goods!","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"On Mars","184267","0","2","0","1","0","0","0","0","0","0","0","4","","","","","","51799757","7.7153","8.25315","4.6466","52","14213","thing","On Mars","1","4","150","150","90","2020","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"On the Origin of Species","276004","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","80821498","5.91913","6.99604","2.3333","3016","1847","thing","On the Origin of Species","2","4","80","80","45","2019","2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"On the Underground: London/Berlin","281152","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","67142462","6.14344","7.28485","2.3636","1974","1786","thing","On the Underground: London/Berlin","2","5","60","60","45","2019","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
